	rank	player	pts_per_g	trb_per_g	ast_per_g	stl_per_g	blk_per_g	fg_pct	ws	ws_per_48
525	11	Manu Gin«ü∂¸bili	16.5	3.8	4.9	1.4	0.3	0.441	9.7	0.216
526	12	Chauncey Billups	19.5	3.1	5.6	1.1	0.1	0.418	9.5	0.182
527	12	Chris Bosh	24	10.8	2.4	0.6	1	0.518	9.6	0.182
528	12	Stephen Jackson	20.6	5	3.7	1.6	0.5	0.423	5	0.077
529	12	Joe Johnson	21.3	4.6	4.9	1.1	0.1	0.458	8.4	0.14
530	1	Derrick Rose	25	4.1	7.7	1	0.6	0.445	13.1	0.208
531	2	Dwight Howard	22.9	14.1	1.4	1.4	2.4	0.593	14.4	0.235
532	3	LeBron James	26.7	7.5	7	1.6	0.6	0.51	15.6	0.244
533	4	Kobe Bryant	25.3	5.1	4.7	1.2	0.1	0.451	10.3	0.178
534	5	Kevin Durant	27.7	6.8	2.7	1.1	1	0.462	12	0.189
535	6	Dirk Nowitzki	23	7	2.6	0.5	0.6	0.517	11.1	0.213
536	7	Dwyane Wade	25.5	6.4	4.6	1.5	1.1	0.5	12.8	0.218
537	8	Manu Gin«ü∂¸bili	17.4	3.7	4.9	1.5	0.4	0.433	9.9	0.195
538	9	Amar'e Stoudemire	25.3	8.2	2.6	0.9	1.9	0.502	8	0.134
539	10	Blake Griffin	22.5	12.1	3.8	0.8	0.5	0.506	9.8	0.152
540	10	Rajon Rondo	10.6	4.4	11.2	2.3	0.2	0.475	6.6	0.126
541	12	Tony Parker	17.5	3.1	6.6	1.2	0	0.519	8.2	0.156
542	13	Chris Paul	15.9	4.1	9.8	2.4	0.1	0.463	13.9	0.232
543	1	LeBron James	27.1	7.9	6.2	1.9	0.8	0.531	14.5	0.298
544	2	Kevin Durant	28	8	3.5	1.3	1.2	0.496	12.2	0.23
545	3	Chris Paul	19.8	3.6	9.1	2.5	0.1	0.478	12.7	0.278
546	4	Kobe Bryant	27.9	5.4	4.6	1.2	0.3	0.43	6.2	0.132
547	5	Tony Parker	18.3	2.9	7.7	1	0.1	0.48	7.1	0.177
548	6	Kevin Love	26	13.3	2	0.9	0.5	0.448	10	0.223
549	7	Dwight Howard	20.6	14.5	1.9	1.5	2.1	0.573	7.7	0.179
550	8	Rajon Rondo	11.9	4.8	11.7	1.8	0.1	0.448	4.9	0.121
551	9	Steve Nash	12.5	3	10.7	0.6	0.1	0.532	5.9	0.144
552	10	Dwyane Wade	22.1	4.8	4.6	1.7	1.3	0.497	7.7	0.227
553	11	Derrick Rose	21.8	3.4	7.9	0.9	0.7	0.435	6	0.211
554	12	Dirk Nowitzki	21.6	6.7	2.2	0.7	0.5	0.457	7.6	0.175
555	12	Russell Westbrook	23.6	4.6	5.5	1.7	0.3	0.457	7.9	0.163
556	14	Tim Duncan	15.4	9	2.3	0.7	1.5	0.492	5.9	0.174
557	15	Joe Johnson	18.8	3.7	3.9	0.8	0.2	0.454	6.4	0.145
558	1	LeBron James	26.8	8	7.3	1.7	0.9	0.565	19.3	0.322
559	2	Kevin Durant	28.1	7.9	4.6	1.4	1.3	0.51	18.9	0.291
560	3	Carmelo Anthony	28.7	6.9	2.6	0.8	0.5	0.449	9.5	0.184
561	4	Chris Paul	16.9	3.7	9.7	2.4	0.1	0.481	13.9	0.287
562	5	Kobe Bryant	27.3	5.6	6	1.4	0.3	0.463	10.9	0.174
563	6	Tony Parker	20.3	3	7.6	0.8	0.1	0.522	9.3	0.206
564	7	Tim Duncan	17.8	9.9	2.7	0.7	2.7	0.502	8.3	0.191
565	8	James Harden	25.9	4.9	5.8	1.8	0.5	0.438	12.8	0.206
566	9	Russell Westbrook	23.2	5.2	7.4	1.8	0.3	0.438	11.6	0.195
567	10	Dwyane Wade	21.2	5	5.1	1.9	0.8	0.521	9.6	0.192
568	11	Stephen Curry	22.9	4	6.9	1.6	0.2	0.451	11.2	0.18
569	12	Kevin Garnett	14.8	7.8	2.3	1.1	0.9	0.496	5.6	0.133
570	12	Marc Gasol	14.1	7.8	4	1	1.7	0.494	11.5	0.197
571	12	Ty Lawson	16.7	2.7	6.9	1.5	0.1	0.461	7.4	0.141
572	12	David Lee	18.5	11.2	3.5	0.8	0.3	0.519	9.1	0.15
573	12	Joakim Noah	11.9	11.1	4	1.2	2.1	0.481	7.3	0.145
574	1	Kevin Durant	32	7.4	5.5	1.3	0.7	0.503	19.2	0.295
575	2	LeBron James	27.1	6.9	6.3	1.6	0.3	0.567	15.9	0.264
576	3	Blake Griffin	24.1	9.5	3.9	1.2	0.6	0.528	12.2	0.205
577	4	Joakim Noah	12.6	11.3	5.4	1.2	1.5	0.475	11.2	0.19
578	5	James Harden	25.4	4.7	6.1	1.6	0.4	0.456	12.8	0.221
579	6	Stephen Curry	24	4.3	8.5	1.6	0.2	0.471	13.4	0.225
580	7	Chris Paul	19.1	4.3	10.7	2.5	0.1	0.467	12.2	0.27
581	8	Al Jefferson	21.8	10.8	2.1	0.9	1.1	0.509	7.8	0.146
582	9	Paul George	21.7	6.8	3.5	1.9	0.3	0.424	10.8	0.178
583	10	LaMarcus Aldridge	23.2	11.1	2.6	0.9	1	0.458	7.5	0.144
584	11	Kevin Love	26.1	12.5	4.4	0.8	0.5	0.457	14.3	0.245
585	12	Tim Duncan	15.1	9.7	3	0.6	1.9	0.49	7.4	0.164
586	12	Tony Parker	16.7	2.3	5.7	0.5	0.1	0.499	5.9	0.141
587	14	Dirk Nowitzki	21.7	6.2	2.7	0.9	0.6	0.497	10.9	0.199
588	15	Carmelo Anthony	27.4	8.1	3.1	1.2	0.7	0.452	10.7	0.172
589	16	Goran Dragi«?∂?	20.3	3.2	5.9	1.4	0.3	0.505	10.3	0.186
590	17	Mike Conley	17.2	2.9	6	1.5	0.2	0.45	8.2	0.161
591	1	Stephen Curry	23.8	4.3	7.7	2	0.2	0.487	15.7	0.288
592	2	James Harden	27.4	5.7	7	1.9	0.7	0.44	16.4	0.265
593	3	LeBron James	25.3	6	7.4	1.6	0.7	0.488	10.4	0.199
594	4	Russell Westbrook	28.1	7.3	8.6	2.1	0.2	0.426	10.6	0.222
595	5	Anthony Davis	24.4	10.2	2.2	1.5	2.9	0.535	14	0.274
596	6	Chris Paul	19.1	4.6	10.2	1.9	0.2	0.485	16.1	0.27
597	7	LaMarcus Aldridge	23.4	10.2	1.7	0.7	1	0.466	8.6	0.165
598	8	Marc Gasol	17.4	7.8	3.8	0.9	1.6	0.494	10.2	0.182
599	8	Blake Griffin	21.9	7.6	5.3	0.9	0.5	0.502	9	0.183
600	10	Tim Duncan	13.9	9.1	3	0.8	2	0.512	9.6	0.207
601	10	Kawhi Leonard	16.5	7.2	2.5	2.3	0.8	0.479	8.6	0.204
